"ID","ID,性别,专业,学历,毕业去向,就业行业,期望薪资,工作城市,满意度评分,是否有实习经历,城市"
"56","56,其他1,金融学,博士,公务员,政府机关,-8888,杭州,1,否,上海 "
"57","57,男,机械工程,博士,公务员,建筑,14484.684836739176,南京,5,是,"
"58","58,男,机械工程,硕士,公务员,制造业,14000.0,杭州,1,否,"
"59","59,女,电子信息,本科,自由职业,教育,12500.0,成都,4,是,"
"60","60, 女,法学,,,互联网,7500.0,深圳,4,是,"
"61","61,女,市场营销,博士,,医疗,-8081,成都,2,否,"
"62","62,男,,硕士,公务员,银行,11500.0,北京,2,否,"
"63","63,男,电子信息,博士,就业,银行,11000.0,深圳,1,是,"
"64","64,男,汉语言文学,硕士,出国,教育,6500.0,西安,4.30731295668054,是,"
"65","65,女,汉语言文学,硕士,出国,文化传媒,未知,南京,5,是,"
"66","66,女,电子信息,博士,就业,医疗,12000.0,深圳,5,是,"
"67","67,男,金融学,,,制造业,10500.0,武汉,4,否,上海 "
"68","68,女,临床医学,博士,创业,互联网,8000.0,广州,3,否,上海 "
"69","69,女,,,就业,文化传媒,6000.0,成都,5,否,"
"70","70,女,机械工程,硕士,自由职业,银行,12000.0,武汉,3.7001029790466715,否,"
"71","71, 女,机械工程,博士,自由职业,互联网,未知,上海,1,是,"
"72","72,男,电子信息,博士,就业,建筑,-9442,深圳,1,是,"
"73","73,男,金融学,博士,就业,建筑,15000.0,杭州,5,是,"
"74","74,男,土木工程,本科,公务员,医疗,,深圳,2,否,"
"75","75,男,,博士,就业,医疗,8000.0,青岛,1,否,"
"76","76,女,环境工程,本科,,教育,12000.0,青岛,2,是,"
"77","77,女,环境工程,本科,创业,政府机关,,上海,2,是,"
"78","78,女,电子信息,硕士,公务员,医疗,13500.0,北京,1.6178905522047882,否,"
"79","79,女,计算机,博士,公务员,建筑,11500.0,成都,2,是,"
"80","80,女,金融学,博士,,银行,12000.0,上海,5,是,上海 "
"81","81,女,计算机,博士,,制造业,7000.0,武汉,3,否,"
"82","82,女,汉语言文学,本科,创业,文化传媒,4000.0,成都,1,是,"
"83","83,男,计算机,硕士,出国,文化传媒,14500.0,北京,2,是,"
"84","84,女,,硕士,,制造业,9500.0,武汉,4,是,"
"85","85,男,,本科,考研,政府机关,9500.0,成都,2,否,"
"86","86,女,计算机,本科,就业,银行,14500.0,西安,4,否,"
"87","87,男,市场营销,博士,出国,银行,14500.0,北京,3,否,"
"88","88,男,临床医学,硕士,创业,政府机关,13000.0,青岛,5,否,"
"89","89,女,计算机,硕士,公务员,建筑,8500.0,深圳,2.9710761538177772,是,"
"90","90,女,汉语言文学,博士,公务员,文化传媒,8000.0,武汉,2,是,"
"91","91,女,机械工程,,创业,医疗,6000.0,杭州,3.558901123733361,否,"
"92","92,其他1,汉语言文学,本科,考研,政府机关,-6162,南京,2,否,"
"93","93,男,临床医学,博士,就业,制造业,7500.0,成都,4.006750179179653,是,"
"94","94,男,计算机,博士,创业,制造业,9500.0,成都,2,否,"
"95","95,男,土木工程,硕士,,医疗,5000.0,深圳,2,否,"
"96","96,男,,本科,出国,文化传媒,5500.0,武汉,4,否,"
"97","97,男,电子信息,博士,出国,政府机关,12000.0,西安,1.3079409577160406,是,"
"98","98,女,土木工程,硕士,出国,文化传媒,7500.0,上海,5,是,"
"99","99,男,法学,本科,就业,文化传媒,未知,深圳,3,否,"
"100","100,其他1,汉语言文学,,就业,制造业,-5236,北京,3.065496120534931,是,"
"101","101,男,法学,博士,就业,教育,15000.0,深圳,2,是,"
"102","102,女,金融学,本科,出国,建筑,15000.0,西安,5,否,上海 "
"103","103,女,市场营销,硕士,自由职业,建筑,1367091,南京,5,是,"
"104","104,女,土木工程,博士,考研,建筑,-9145,广州,2,否,"
"105","105,男,金融学,本科,出国,制造业,7000.0,成都,2,是,"
"106","106, 女,金融学,本科,,医疗,12000.0,深圳,1,是,"
"107","107,女,机械工程,硕士,创业,银行,22626.044590204277,西安,1.2101257593136598,是,"
"108","108,男,计算机,本科,出国,互联网,5000.0,成都,2,是,"
"109","109,女,法学,博士,就业,互联网,14000.0,上海,4,否,"
"110","110,男,计算机,本科,就业,互联网,10000.0,南京,4,是,上海 "
"111","111,男,临床医学,,,建筑,8000.0,青岛,2,是,"
"112","112,男,土木工程,本科,创业,制造业,4500.0,杭州,5,是,"
"113","113,男,计算机,本科,,文化传媒,8000.0,西安,5,否,"
"114","114,女,法学,,,制造业,9500.0,成都,1.6513699986500319,是,"
"115","115,女,电子信息,本科,,教育,未知,杭州,4,是,"
"116","116, 女,环境工程,硕士,考研,文化传媒,2796857,西安,1,否,"
"117","117,女,计算机,,就业,政府机关,13000.0,深圳,1,否,"
"118","118,男,市场营销,博士,自由职业,建筑,9000.0,青岛,2,是,"
"119","119,女,金融学,博士,出国,文化传媒,9000.0,成都,1,是,"
"120","120,男,机械工程,本科,,医疗,5000.0,青岛,1,否,"
"121","121,女,汉语言文学,本科,出国,制造业,12500.0,深圳,3,否,"
"122","122,女,市场营销,硕士,出国,建筑,,广州,4,否,"
"123","123,女,汉语言文学,博士,公务员,文化传媒,,武汉,1,是,"
"124","124,男,临床医学,硕士,考研,建筑,11500.0,成都,2,是,"
"125","125,男,汉语言文学,硕士,,医疗,,西安,3,否,"
"126","126,其他1,,本科,出国,医疗,11500.0,广州,2.301262089885288,是,"
"127","127,男,机械工程,本科,创业,医疗,10500.0,北京,1,否,上海 "
"128","128,女,汉语言文学,博士,出国,制造业,3284291,北京,4,否,"
"129","129,男,电子信息,博士,考研,政府机关,3176559,上海,1.92372371895753,否,"
"130","130,女,汉语言文学,,考研,互联网,15000.0,西安,5,是,"
"131","131,男,环境工程,博士,公务员,建筑,,武汉,1,是,上海 "
"132","132,女,法学,硕士,考研,互联网,14500.0,杭州,差,否,"
"133","133,男,金融学,博士,出国,银行,-4426,北京,2,是,"
"134","134,男,临床医学,本科,公务员,制造业,5000.0,南京,4,否,"
"135","135,男,临床医学,硕士,创业,建筑,7000.0,深圳,5,否,上海 "
"136","136,女,计算机,硕士,就业,文化传媒,7000.0,上海,2,是,"
"137","137,女,临床医学,博士,创业,教育,13500.0,广州,2,否,"
"138","138,其他1,法学,本科,出国,建筑,12500.0,西安,5,是,"
"139","139,女,,博士,创业,医疗,12500.0,杭州,4,否,"
"140","140,女,机械工程,本科,自由职业,文化传媒,6000.0,青岛,5,是,"
"141","141,女,金融学,硕士,就业,政府机关,-8086,广州,1,否,"
"142","142,其他1,金融学,硕士,就业,银行,4500.0,青岛,1,否,"
"143","143,其他1,法学,硕士,自由职业,文化传媒,8000.0,青岛,2.9273156635338915,否,上海 "
"144","144,男,土木工程,硕士,就业,建筑,1879450,西安,3,是,"
"145","145,女,机械工程,博士,,银行,8500.0,上海,3,是,"
"146","146,男,金融学,硕士,创业,教育,15000.0,广州,5,是,"
"147","147,女,法学,硕士,创业,制造业,-9293,西安,1,是,"
"148","148,女,土木工程,博士,创业,建筑,7000.0,南京,2,否,"
"149","149,女,土木工程,,就业,文化传媒,,成都,5,是,"
"150","150,男,土木工程,博士,出国,制造业,4000.0,西安,5,是,"
"151","151, 女,土木工程,本科,就业,制造业,-7060,青岛,2,是,"
"152","152,男,环境工程,本科,就业,建筑,5500.0,深圳,3,是,"
"153","153,男,土木工程,硕士,,政府机关,11000.0,广州,4,是,"
"154","154,女,汉语言文学,本科,就业,医疗,11000.0,成都,2,是,"
"155","155,男,环境工程,硕士,考研,互联网,5000.0,南京,4,否,"
"156","156,女,机械工程,本科,出国,互联网,14000.0,上海,1,否,"
"157","157,男,,本科,公务员,制造业,,杭州,4,是,"
"158","158,男,,博士,就业,建筑,,西安,4,否,"
"159","159,女,,硕士,出国,制造业,4000.0,西安,5,否,"
"160","160,女,电子信息,硕士,自由职业,互联网,6000.0,武汉,2,否,"
"161","161,女,金融学,,公务员,银行,14500.0,上海,5,否,"
"162","162, 女,计算机,本科,,银行,11500.0,成都,3,是,"
"163","163,男,,博士,,政府机关,14500.0,杭州,3.4179115713815946,否,"
"164","164,男,电子信息,本科,,政府机关,1113375,武汉,4,否,"
"165","165,女,,博士,公务员,政府机关,4000.0,南京,1,是,"
"166","166,女,市场营销,博士,考研,制造业,7000.0,北京,3.8920642217975967,否,"
"167","167,其他1,市场营销,博士,出国,制造业,13000.0,上海,2,是,上海 "
"168","168,女,计算机,本科,创业,政府机关,10500.0,南京,1,是,"
"169","169,女,电子信息,,公务员,建筑,7000.0,武汉,3,是,"
"170","170,女,机械工程,本科,出国,制造业,10000.0,青岛,1.4650347894350062,否,"
"171","171,男,法学,本科,出国,教育,15000.0,杭州,差,否,"
"172","172,男,机械工程,博士,就业,医疗,9500.0,南京,1,否,"
"173","173,男,电子信息,本科,,教育,-4101,广州,3,是,"
"174","174,女,计算机,博士,自由职业,制造业,7500.0,广州,4,否,"
"175","175,男,,硕士,自由职业,互联网,未知,青岛,1,是,"
"176","176,男,机械工程,本科,创业,医疗,14000.0,广州,5,是,"
"177","177,其他1,汉语言文学,本科,就业,政府机关,5000.0,广州,2,是,"
"178","178,男,临床医学,博士,考研,制造业,12500.0,西安,1.9174552857422347,否,"
"179","179,男,市场营销,博士,出国,建筑,7500.0,西安,5,否,上海 "
"180","180,其他1,机械工程,博士,自由职业,文化传媒,11000.0,武汉,2,否,"
"181","181,男,,本科,自由职业,制造业,7500.0,杭州,2,是,"
"182","182, 女,计算机,本科,创业,银行,,杭州,1,否,"
"183","183,其他1,临床医学,硕士,自由职业,制造业,未知,成都,1,否,"
"184","184,其他1,土木工程,本科,公务员,银行,10500.0,武汉,5,否,"
"185","185,男,金融学,博士,就业,文化传媒,7000.0,武汉,5,是,上海 "
"186","186,男,汉语言文学,本科,自由职业,文化传媒,8500.0,北京,5,否,"
"187","187,男,金融学,博士,考研,医疗,7500.0,深圳,1,否,"
"188","188,女,汉语言文学,博士,创业,银行,10500.0,南京,2,否,"
"189","189,男,法学,硕士,考研,医疗,6500.0,武汉,3,是,"
"190","190,女,电子信息,本科,考研,文化传媒,14000.0,青岛,4,否,"
"191","191,女,金融学,,考研,互联网,29261.247549619693,广州,2,是,"
"192","192,女,机械工程,,出国,互联网,4500.0,南京,3,是,"
"193","193,男,电子信息,硕士,,建筑,,南京,3,是,"
"194","194,男,计算机,硕士,,政府机关,6000.0,杭州,5,是,"
"195","195,女,临床医学,硕士,,互联网,8500.0,西安,1,否,"
"196","196,男,土木工程,本科,考研,制造业,-5586,广州,3,是,"
"197","197,女,法学,硕士,考研,制造业,6000.0,武汉,3,是,"
"198","198,男,临床医学,博士,,文化传媒,8000.0,上海,1,是,上海 "
"199","199, 女,临床医学,硕士,自由职业,制造业,12500.0,杭州,5,否,"
"200","200,女,机械工程,博士,考研,互联网,8500.0,杭州,2,是,"
"201","201,男,土木工程,博士,公务员,建筑,,南京,5,否,上海 "
"202","202,女,市场营销,硕士,创业,文化传媒,,北京,1,否,"
"203","203,女,环境工程,博士,公务员,建筑,11000.0,南京,5,是,"
"204","204,男,,硕士,考研,文化传媒,8500.0,青岛,1,是,"
"205","205,男,汉语言文学,博士,自由职业,政府机关,5500.0,西安,3,否,"
"206","206,女,,博士,,教育,14000.0,西安,5,是,"
"207","207,男,电子信息,硕士,,医疗,13500.0,武汉,5,否,"
"208","208,男,土木工程,本科,就业,文化传媒,12000.0,北京,5,是,"
"209","209,男,电子信息,硕士,,制造业,5000.0,深圳,差,否,"
"210","210,女,临床医学,博士,自由职业,银行,5500.0,西安,1,否,"
"211","211,女,机械工程,硕士,,医疗,,杭州,3,否,上海 "
"212","212,女,环境工程,博士,考研,银行,13500.0,武汉,2,是,上海 "
"213","213,女,机械工程,硕士,创业,教育,5500.0,杭州,3,是,"
"214","214,男,电子信息,,自由职业,文化传媒,,青岛,5,否,"
"215","215,女,电子信息,硕士,,文化传媒,11000.0,杭州,5,否,"
"216","216,男,临床医学,本科,创业,建筑,2757526,南京,差,是,"
"217","217,女,,博士,创业,教育,12500.0,南京,5,否,"
"218","218,其他1,土木工程,本科,自由职业,建筑,15000.0,成都,5,否,"
"219","219,女,土木工程,本科,自由职业,政府机关,,武汉,5,是,"
"220","220,女,法学,硕士,出国,建筑,8500.0,上海,3,是,"
"221","221,其他1,电子信息,硕士,,文化传媒,14500.0,武汉,1,是,"
"222","222,女,环境工程,本科,出国,政府机关,8000.0,南京,2,是,"
"223","223,男,临床医学,,自由职业,互联网,13500.0,南京,5,否,上海 "
"224","224,女,法学,硕士,创业,制造业,10000.0,广州,1,否,"
"225","225,女,电子信息,博士,,制造业,13000.0,上海,3.031887178180181,是,"
"226","226,其他1,土木工程,博士,就业,教育,,杭州,3,否,"
"227","227,男,金融学,本科,自由职业,文化传媒,31540.329925442275,青岛,1,是,"
"228","228,女,环境工程,硕士,,文化传媒,5000.0,青岛,差,是,上海 "
"229","229,女,机械工程,本科,出国,教育,14000.0,杭州,3,否,"
"230","230,男,,,,文化传媒,12500.0,上海,2,否,"
"231","231,女,法学,本科,考研,银行,11000.0,广州,3,是,"
"232","232,男,金融学,博士,创业,文化传媒,10500.0,武汉,1,否,"
"233","233,女,,,公务员,医疗,10000.0,青岛,1,是,"
"234","234,男,环境工程,本科,考研,建筑,12500.0,南京,1,是,"
"235","235,女,机械工程,博士,创业,互联网,9000.0,广州,1,是,"
"236","236,男,法学,硕士,考研,教育,4000.0,西安,2,是,"
"237","237,女,法学,,,制造业,7000.0,上海,3,否,"
"238","238,女,环境工程,博士,创业,教育,11500.0,西安,4.6886870617159095,是,"
"239","239,男,电子信息,硕士,考研,制造业,,南京,3,否,"
"240","240,女,法学,硕士,考研,医疗,13500.0,北京,3,是,"
"241","241,女,土木工程,,,制造业,49868.18762512947,成都,差,否,上海 "
"242","242,女,汉语言文学,,考研,银行,15000.0,北京,1,否,"
"243","243,男,汉语言文学,本科,创业,建筑,14500.0,成都,4,否,"
"244","244,男,,硕士,就业,政府机关,4982145,西安,1,是,"
"245","245,男,金融学,硕士,就业,建筑,28846.149268091165,上海,5,是,"
"246","246,男,,硕士,考研,建筑,7500.0,广州,2,否,"
"247","247,男,土木工程,本科,就业,教育,13500.0,深圳,2.061143494781197,否,"
"248","248,男,计算机,,考研,互联网,未知,上海,4,是,上海 "
"249","249,女,土木工程,博士,就业,银行,3851147,南京,2,是,"
"250","250,女,临床医学,硕士,公务员,文化传媒,7000.0,上海,3.8129662295455216,是,"
"251","251,女,计算机,本科,自由职业,教育,5500.0,武汉,1,否,"
"252","252,男,土木工程,,自由职业,文化传媒,6000.0,武汉,差,是,"
"253","253,男,临床医学,本科,自由职业,建筑,9000.0,深圳,3,是,"
"254","254,男,电子信息,,创业,互联网,7000.0,杭州,5,是,"
"255","255,女,,博士,创业,教育,13000.0,青岛,2,否,"
"256","256,其他1,机械工程,本科,创业,文化传媒,22366.029970335512,深圳,4,是,上海 "
"257","257,女,金融学,本科,考研,建筑,13000.0,青岛,1,是,"
"258","258,女,临床医学,,就业,医疗,9500.0,西安,4,否,"
"259","259,女,计算机,本科,自由职业,互联网,13000.0,上海,4,否,"
"260","260,女,临床医学,博士,公务员,医疗,-5052,武汉,2,是,"
"261","261,女,汉语言文学,博士,自由职业,政府机关,8000.0,杭州,3,否,"
"262","262,男,金融学,硕士,自由职业,互联网,4000.0,武汉,3,是,"
"263","263,女,电子信息,硕士,自由职业,互联网,13000.0,杭州,5,是,"
"264","264,男,金融学,本科,公务员,互联网,-4223,上海,1,否,"
"265","265,男,,本科,自由职业,医疗,-9246,广州,3,是,"
"266","266,女,电子信息,博士,就业,教育,14500.0,成都,4.246942091899682,是,"
"267","267, 女,临床医学,本科,考研,制造业,3269596,西安,4,是,上海 "
"268","268,男,电子信息,本科,自由职业,互联网,11000.0,广州,3,是,"
"269","269,女,金融学,博士,,文化传媒,5000.0,南京,3,否,"
"270","270,男,土木工程,硕士,创业,教育,11500.0,武汉,1,否,"
"271","271,女,汉语言文学,博士,就业,银行,4500.0,南京,5,是,"
"272","272,男,计算机,本科,公务员,制造业,6000.0,西安,5,是,"
"273","273,女,金融学,本科,公务员,银行,7000.0,青岛,5,否,"
"274","274,男,机械工程,本科,公务员,互联网,44270.989578140914,上海,2,是,"
"275","275,女,计算机,本科,出国,互联网,14000.0,成都,1,是,"
"276","276,女,汉语言文学,博士,公务员,互联网,,深圳,1,是,"
"277","277,男,临床医学,硕士,自由职业,建筑,7000.0,南京,4,否,"
"278","278,男,金融学,博士,考研,银行,4500.0,杭州,2,是,"
"279","279,其他1,,硕士,公务员,制造业,13000.0,北京,4,否,"
"280","280,女,电子信息,本科,就业,制造业,未知,青岛,3,否,"
"281","281,男,机械工程,博士,创业,互联网,11500.0,北京,1,是,上海 "
"282","282,男,电子信息,本科,创业,制造业,11000.0,成都,1,是,"
"283","283,男,,博士,考研,银行,5500.0,广州,3.6916821527189896,是,"
"284","284,男,市场营销,博士,考研,文化传媒,-5966,深圳,5,否,"
"285","285, 女,机械工程,硕士,出国,银行,5500.0,北京,3,是,"
"286","286,男,金融学,博士,自由职业,医疗,5000.0,成都,5,否,"
"287","287,女,计算机,硕士,就业,互联网,8000.0,西安,5,是,"
"288","288,其他1,临床医学,博士,考研,互联网,7000.0,南京,5,是,"
"289","289,女,机械工程,硕士,公务员,教育,12500.0,青岛,5,否,"
"290","290,男,土木工程,硕士,自由职业,制造业,4500.0,广州,1,否,"
"291","291,女,环境工程,博士,自由职业,文化传媒,4000.0,武汉,1,是,"
"292","292,男,计算机,本科,出国,银行,6500.0,成都,5,是,"
"293","293,男,汉语言文学,硕士,,互联网,11000.0,武汉,5,是,上海 "
"294","294,男,环境工程,博士,就业,建筑,11500.0,北京,3,是,"
"295","295,男,市场营销,,就业,政府机关,6000.0,上海,1,是,上海 "
"296","296,女,电子信息,博士,出国,建筑,13500.0,深圳,5,是,"
"297","297,男,市场营销,博士,公务员,政府机关,7500.0,广州,4,否,"
"298","298,女,,博士,就业,政府机关,未知,武汉,1,否,"
"299","299,女,,硕士,就业,银行,6000.0,成都,1.655255859703215,否,"
"300","300,男,金融学,,考研,教育,-3115,广州,3,否,"
"301","301,男,土木工程,本科,考研,建筑,8000.0,广州,1,是,上海 "
"302","302,男,金融学,博士,自由职业,医疗,15000.0,西安,差,否,"
"303","303,女,环境工程,本科,,制造业,11000.0,深圳,1,否,"
"304","304,女,市场营销,博士,公务员,政府机关,1716923,西安,3,否,"
"305","305,男,汉语言文学,硕士,出国,制造业,12500.0,广州,5,否,"
"306","306,男,法学,本科,考研,政府机关,,武汉,3,是,"
"307","307,女,市场营销,硕士,公务员,医疗,7500.0,北京,5,是,"
"308","308,男,,硕士,就业,医疗,4000.0,广州,4,是,"
"309","309,女,,本科,就业,医疗,5000.0,青岛,5,否,"
"310","310,女,电子信息,本科,创业,制造业,,南京,1,是,"
"311","311, 女,土木工程,本科,自由职业,医疗,5000.0,深圳,3,否,"
"312","312,男,计算机,本科,公务员,政府机关,8000.0,广州,3,是,"
"313","313,女,环境工程,硕士,就业,教育,11500.0,上海,2,否,"
"314","314,男,电子信息,博士,自由职业,制造业,6500.0,北京,5,是,"
"315","315,男,土木工程,硕士,考研,医疗,9000.0,北京,5,否,"
"316","316, 女,法学,本科,考研,建筑,11000.0,成都,3,否,"
"317","317,其他1,,本科,,医疗,5500.0,青岛,5,否,"
"318","318,男,机械工程,硕士,创业,医疗,13000.0,上海,3,否,"
"319","319,其他1,临床医学,本科,自由职业,建筑,7000.0,杭州,1,否,"
"320","320,其他1,土木工程,博士,,建筑,8000.0,广州,2,是,"
"321","321,女,环境工程,,就业,制造业,14500.0,青岛,3,是,"
"322","322,女,电子信息,本科,,文化传媒,-2659,广州,1,否,"
"323","323,女,金融学,本科,就业,教育,11000.0,南京,1,否,"
"324","324,女,市场营销,本科,创业,政府机关,13000.0,成都,4,否,"
"325","325,女,环境工程,本科,创业,建筑,6000.0,武汉,4.39794753626531,是,"
"326","326,女,电子信息,博士,考研,建筑,-6856,杭州,2,是,"
"327","327,其他1,汉语言文学,本科,自由职业,医疗,13000.0,武汉,2,是,"
"328","328,女,计算机,硕士,公务员,建筑,13500.0,上海,3,是,"
"329","329,女,,博士,公务员,银行,12500.0,杭州,5,否,上海 "
"330","330,男,临床医学,硕士,自由职业,医疗,,上海,2,否,"
"331","331,其他1,电子信息,博士,创业,政府机关,未知,武汉,4,否,"
"332","332,男,机械工程,本科,出国,政府机关,8000.0,武汉,差,否,"
"333","333,男,电子信息,本科,自由职业,建筑,9500.0,深圳,4,否,"
"334","334,男,金融学,硕士,自由职业,文化传媒,10500.0,青岛,4,否,"
"335","335,男,汉语言文学,硕士,出国,政府机关,7500.0,杭州,2,是,"
"336","336,男,土木工程,硕士,公务员,教育,13000.0,武汉,1,否,"
"337","337, 女,,博士,自由职业,医疗,5000.0,西安,3,否,"
"338","338,女,电子信息,本科,创业,教育,4500.0,北京,1,是,"
"339","339,女,市场营销,硕士,自由职业,文化传媒,4500.0,青岛,1,是,"
"340","340,男,临床医学,硕士,出国,互联网,7500.0,武汉,4,是,"
"341","341,女,计算机,博士,出国,医疗,7000.0,武汉,2,否,"
"342","342,男,电子信息,硕士,自由职业,政府机关,未知,北京,2,否,"
"343","343,男,临床医学,本科,出国,医疗,12500.0,西安,5,否,"
"344","344,女,市场营销,,考研,教育,8500.0,杭州,3,否,"
"345","345,女,环境工程,本科,就业,文化传媒,10000.0,青岛,5,是,"
"346","346,女,机械工程,硕士,考研,教育,7000.0,武汉,3.1440364982355717,否,上海 "
"347","347,女,,本科,,建筑,7500.0,杭州,5,是,"
"348","348,女,临床医学,本科,创业,政府机关,5500.0,深圳,2,否,"
"349","349,女,计算机,博士,创业,建筑,1161759,武汉,2,是,"
"350","350,男,,本科,就业,建筑,15000.0,上海,3,是,"
"351","351,女,,博士,公务员,文化传媒,13000.0,广州,4,是,"
"352","352,女,临床医学,,自由职业,医疗,未知,西安,2,是,"
"353","353,女,临床医学,硕士,创业,制造业,11000.0,广州,1,是,"
"354","354,男,,博士,公务员,制造业,4500.0,西安,5,否,"
"355","355,男,,,创业,互联网,-1414,武汉,5,是,"
"356","356, 女,市场营销,本科,公务员,建筑,14500.0,青岛,3,否,"
"357","357,女,计算机,硕士,就业,教育,8000.0,上海,5,否,上海 "
"358","358,男,金融学,本科,创业,政府机关,4500.0,深圳,差,否,上海 "
"359","359,女,计算机,硕士,创业,建筑,14500.0,深圳,4,否,"
"360","360,男,金融学,硕士,公务员,制造业,8000.0,深圳,1,是,"
"361","361,男,环境工程,硕士,出国,医疗,5500.0,上海,5,否,"
"362","362,女,土木工程,博士,自由职业,医疗,14000.0,青岛,1,否,上海 "
"363","363,女,汉语言文学,,就业,互联网,13500.0,上海,4,否,"
"364","364,男,临床医学,本科,创业,文化传媒,5000.0,杭州,4,是,"
"365","365,女,法学,博士,创业,制造业,13000.0,上海,3,否,"
"366","366,男,,本科,自由职业,教育,4000.0,西安,4,是,"
"367","367,男,汉语言文学,博士,公务员,医疗,8000.0,南京,1,否,"
"368","368,其他1,,硕士,考研,建筑,12500.0,西安,2.499966095942811,是,"
"369","369,男,土木工程,博士,自由职业,文化传媒,13000.0,成都,4,是,"
"370","370,男,,博士,公务员,医疗,3563370,杭州,2,否,"
"371","371,女,金融学,博士,就业,文化传媒,未知,青岛,4,是,"
"372","372,女,计算机,,创业,教育,10500.0,南京,3,是,"
"373","373,女,市场营销,本科,出国,互联网,16778.832906852196,武汉,2,是,"
"374","374,男,环境工程,本科,考研,教育,9000.0,西安,5,否,"
"375","375,男,机械工程,本科,出国,政府机关,13000.0,杭州,2,否,"
"376","376,女,环境工程,本科,,互联网,10500.0,北京,1,是,"
