ID,性别,专业,学历,毕业去向,就业行业,期望薪资,工作城市,满意度评分,是否有实习经历
233,女,市场营销,博士,公务员,医疗,10000,青岛,1,是
234,男,环境工程,本科,考研,建筑,12500,南京,1,是
235,女,机械工程,博士,创业,互联网,9000,广州,1,是
236,男,法学,硕士,考研,教育,4000,西安,2,是
237,女,法学,硕士,创业,制造业,7000,上海,3,否
238,女,环境工程,博士,创业,教育,11500,西安,1,是
239,男,电子信息,硕士,考研,制造业,8000,南京,3,否
240,女,法学,硕士,考研,医疗,13500,北京,3,是
241,女,土木工程,本科,创业,制造业,8000,成都,1,否
242,女,汉语言文学,硕士,考研,银行,15000,北京,1,否
243,男,汉语言文学,本科,创业,建筑,14500,成都,4,否
244,男,市场营销,硕士,就业,政府机关,9500,西安,1,是
245,男,金融学,硕士,就业,建筑,12500,上海,5,是
246,男,汉语言文学,硕士,考研,建筑,7500,广州,2,否
247,男,土木工程,本科,就业,教育,13500,深圳,5,否
248,男,计算机,博士,考研,互联网,11500,上海,4,是
249,女,土木工程,博士,就业,银行,6000,南京,2,是
250,女,临床医学,硕士,公务员,文化传媒,7000,上海,2,是
251,女,计算机,本科,自由职业,教育,5500,武汉,1,否
252,男,土木工程,本科,自由职业,文化传媒,6000,武汉,2,是
253,男,临床医学,本科,自由职业,建筑,9000,深圳,3,是
254,男,电子信息,本科,创业,互联网,7000,杭州,5,是
255,女,计算机,博士,创业,教育,13000,青岛,2,否
256,男,机械工程,本科,创业,文化传媒,10000,深圳,4,是
257,女,金融学,本科,考研,建筑,13000,青岛,1,是
258,女,临床医学,硕士,就业,医疗,9500,西安,4,否
259,女,计算机,本科,自由职业,互联网,13000,上海,4,否
260,女,临床医学,博士,公务员,医疗,5000,武汉,2,是
261,女,汉语言文学,博士,自由职业,政府机关,8000,杭州,3,否
262,男,金融学,硕士,自由职业,互联网,4000,武汉,3,是
263,女,电子信息,硕士,自由职业,互联网,13000,杭州,5,是
264,男,金融学,本科,公务员,互联网,4500,上海,1,否
265,男,法学,本科,自由职业,医疗,12500,广州,3,是
266,女,电子信息,博士,就业,教育,14500,成都,2,是
267,男,临床医学,本科,考研,制造业,5000,西安,4,是
268,男,电子信息,本科,自由职业,互联网,11000,广州,3,是
269,女,金融学,博士,公务员,文化传媒,5000,南京,3,否
270,男,土木工程,硕士,创业,教育,11500,武汉,1,否
271,女,汉语言文学,博士,就业,银行,4500,南京,5,是
272,男,计算机,本科,公务员,制造业,6000,西安,5,是
273,女,金融学,本科,公务员,银行,7000,青岛,5,否
274,男,机械工程,本科,公务员,互联网,6000,上海,2,是
275,女,计算机,本科,出国,互联网,14000,成都,1,是
276,女,汉语言文学,博士,公务员,互联网,13000,深圳,1,是
277,男,临床医学,硕士,自由职业,建筑,7000,南京,4,否
278,男,金融学,博士,考研,银行,4500,杭州,2,是
279,男,电子信息,硕士,公务员,制造业,13000,北京,4,否
280,女,电子信息,本科,就业,制造业,4500,青岛,3,否
281,男,机械工程,博士,创业,互联网,11500,北京,1,是
282,男,电子信息,本科,创业,制造业,11000,成都,1,是
283,男,市场营销,博士,考研,银行,5500,广州,1,是
284,男,市场营销,博士,考研,文化传媒,13000,深圳,5,否
285,男,机械工程,硕士,出国,银行,5500,北京,3,是
286,男,金融学,博士,自由职业,医疗,5000,成都,5,否
287,女,计算机,硕士,就业,互联网,8000,西安,5,是
288,女,临床医学,博士,考研,互联网,7000,南京,5,是
289,女,机械工程,硕士,公务员,教育,12500,青岛,5,否
290,男,土木工程,硕士,自由职业,制造业,4500,广州,1,否
291,女,环境工程,博士,自由职业,文化传媒,4000,武汉,1,是
292,男,计算机,本科,出国,银行,6500,成都,5,是
293,男,汉语言文学,硕士,就业,互联网,11000,武汉,5,是
294,男,环境工程,博士,就业,建筑,11500,北京,3,是
295,男,市场营销,博士,就业,政府机关,6000,上海,1,是
296,女,电子信息,博士,出国,建筑,13500,深圳,5,是
297,男,市场营销,博士,公务员,政府机关,7500,广州,4,否
298,女,机械工程,博士,就业,政府机关,12000,武汉,1,否
299,女,计算机,硕士,就业,银行,6000,成都,3,否
300,男,金融学,本科,考研,教育,9500,广州,3,否
301,男,土木工程,本科,考研,建筑,8000,广州,1,是
302,男,金融学,博士,自由职业,医疗,15000,西安,3,否
303,女,环境工程,本科,出国,制造业,11000,深圳,1,否
304,女,市场营销,博士,公务员,政府机关,12500,西安,3,否
305,男,汉语言文学,硕士,出国,制造业,12500,广州,5,否
306,男,法学,本科,考研,政府机关,9000,武汉,3,是
307,女,市场营销,硕士,公务员,医疗,7500,北京,5,是
308,男,计算机,硕士,就业,医疗,4000,广州,4,是
309,女,金融学,本科,就业,医疗,5000,青岛,5,否
310,女,电子信息,本科,创业,制造业,10500,南京,1,是
311,男,土木工程,本科,自由职业,医疗,5000,深圳,3,否
312,男,计算机,本科,公务员,政府机关,8000,广州,3,是
313,女,环境工程,硕士,就业,教育,11500,上海,2,否
314,男,电子信息,博士,自由职业,制造业,6500,北京,5,是
315,男,土木工程,硕士,考研,医疗,9000,北京,5,否
316,女,法学,本科,考研,建筑,11000,成都,3,否
317,男,计算机,本科,公务员,医疗,5500,青岛,5,否
318,男,机械工程,硕士,创业,医疗,13000,上海,3,否
319,男,临床医学,本科,自由职业,建筑,7000,杭州,1,否
320,女,土木工程,博士,自由职业,建筑,8000,广州,2,是
321,女,环境工程,本科,就业,制造业,14500,青岛,3,是
322,女,电子信息,本科,公务员,文化传媒,6000,广州,1,否
323,女,金融学,本科,就业,教育,11000,南京,1,否
324,女,市场营销,本科,创业,政府机关,13000,成都,4,否
325,女,环境工程,本科,创业,建筑,6000,武汉,4,是
326,女,电子信息,博士,考研,建筑,11500,杭州,2,是
327,女,汉语言文学,本科,自由职业,医疗,13000,武汉,2,是
328,女,计算机,硕士,公务员,建筑,13500,上海,3,是
329,女,电子信息,博士,公务员,银行,12500,杭州,5,否
330,男,临床医学,硕士,自由职业,医疗,7000,上海,2,否
331,男,电子信息,博士,创业,政府机关,15000,武汉,4,否
332,男,机械工程,本科,出国,政府机关,8000,武汉,3,否
333,男,电子信息,本科,自由职业,建筑,9500,深圳,4,否
334,男,金融学,硕士,自由职业,文化传媒,10500,青岛,4,否
335,男,汉语言文学,硕士,出国,政府机关,7500,杭州,2,是
336,男,土木工程,硕士,公务员,教育,13000,武汉,1,否
337,女,计算机,博士,自由职业,医疗,5000,西安,3,否
338,女,电子信息,本科,创业,教育,4500,北京,1,是
339,女,市场营销,硕士,自由职业,文化传媒,4500,青岛,1,是
340,男,临床医学,硕士,出国,互联网,7500,武汉,4,是
341,女,计算机,博士,出国,医疗,7000,武汉,2,否
342,男,电子信息,硕士,自由职业,政府机关,7500,北京,2,否
343,男,临床医学,本科,出国,医疗,12500,西安,5,否
344,女,市场营销,博士,考研,教育,8500,杭州,3,否
345,女,环境工程,本科,就业,文化传媒,10000,青岛,5,是
346,女,机械工程,硕士,考研,教育,7000,武汉,1,否
347,女,环境工程,本科,就业,建筑,7500,杭州,5,是
348,女,临床医学,本科,创业,政府机关,5500,深圳,2,否
349,女,计算机,博士,创业,建筑,5500,武汉,2,是
350,男,法学,本科,就业,建筑,15000,上海,3,是
351,女,市场营销,博士,公务员,文化传媒,13000,广州,4,是
352,女,临床医学,硕士,自由职业,医疗,6500,西安,2,是
353,女,临床医学,硕士,创业,制造业,11000,广州,1,是
354,男,电子信息,博士,公务员,制造业,4500,西安,5,否
355,男,市场营销,本科,创业,互联网,11500,武汉,5,是
356,男,市场营销,本科,公务员,建筑,14500,青岛,3,否
357,女,计算机,硕士,就业,教育,8000,上海,5,否
358,男,金融学,本科,创业,政府机关,4500,深圳,4,否
359,女,计算机,硕士,创业,建筑,14500,深圳,4,否
360,男,金融学,硕士,公务员,制造业,8000,深圳,1,是
361,男,环境工程,硕士,出国,医疗,5500,上海,5,否
362,女,土木工程,博士,自由职业,医疗,14000,青岛,1,否
363,女,汉语言文学,硕士,就业,互联网,13500,上海,4,否
364,男,临床医学,本科,创业,文化传媒,5000,杭州,4,是
365,女,法学,博士,创业,制造业,13000,上海,3,否
366,男,法学,本科,自由职业,教育,4000,西安,4,是
367,男,汉语言文学,博士,公务员,医疗,8000,南京,1,否
368,男,环境工程,硕士,考研,建筑,12500,西安,4,是
369,男,土木工程,博士,自由职业,文化传媒,13000,成都,4,是
370,男,机械工程,博士,公务员,医疗,6500,杭州,2,否
371,女,金融学,博士,就业,文化传媒,10000,青岛,4,是
372,女,计算机,本科,创业,教育,10500,南京,3,是
373,女,市场营销,本科,出国,互联网,4500,武汉,2,是
374,男,环境工程,本科,考研,教育,9000,西安,5,否
375,男,机械工程,本科,出国,政府机关,13000,杭州,2,否
376,女,环境工程,本科,出国,互联网,10500,北京,1,是
377,女,计算机,本科,自由职业,教育,6000,南京,3,是
378,女,法学,硕士,就业,医疗,14000,深圳,5,是
379,男,汉语言文学,博士,出国,制造业,6000,北京,1,是
380,男,机械工程,博士,公务员,文化传媒,8000,武汉,1,是
381,男,土木工程,硕士,自由职业,建筑,14500,北京,1,是
382,女,法学,博士,自由职业,医疗,4000,广州,3,是
383,女,法学,本科,创业,互联网,13000,武汉,3,是
384,男,汉语言文学,硕士,创业,文化传媒,7500,成都,4,是
385,男,计算机,硕士,考研,文化传媒,10000,武汉,3,是
386,女,临床医学,本科,就业,教育,10000,深圳,3,否
387,女,汉语言文学,博士,考研,政府机关,11500,北京,5,是
388,男,市场营销,博士,出国,银行,6000,深圳,2,是
389,男,环境工程,博士,创业,制造业,15000,北京,4,是
390,男,市场营销,本科,自由职业,银行,14500,青岛,1,否
391,女,市场营销,硕士,出国,互联网,6500,上海,3,是
392,女,临床医学,本科,公务员,制造业,5000,武汉,1,是
393,女,金融学,硕士,出国,互联网,13000,北京,3,否
394,女,市场营销,硕士,就业,医疗,5500,西安,4,是
395,女,临床医学,博士,考研,银行,14500,广州,3,是
396,男,土木工程,博士,公务员,文化传媒,14000,青岛,4,否
397,男,土木工程,本科,考研,制造业,13000,南京,5,是
398,女,计算机,本科,创业,银行,11000,北京,4,是
399,男,机械工程,硕士,公务员,建筑,15000,成都,3,否
400,男,临床医学,本科,自由职业,制造业,10000,南京,5,是
401,男,金融学,硕士,自由职业,医疗,14500,成都,5,否
402,女,电子信息,本科,公务员,文化传媒,10500,南京,4,是
403,女,土木工程,博士,创业,建筑,11500,青岛,4,是
404,男,电子信息,硕士,出国,银行,14500,杭州,3,是
405,男,环境工程,硕士,出国,制造业,6000,西安,3,是
406,女,金融学,硕士,出国,医疗,9500,青岛,3,是
407,男,环境工程,博士,出国,教育,10000,深圳,2,否
408,女,市场营销,博士,出国,教育,4500,杭州,1,是
409,男,法学,博士,自由职业,银行,7500,西安,1,否
410,男,汉语言文学,硕士,自由职业,制造业,15000,成都,2,否
411,男,金融学,本科,自由职业,医疗,13500,深圳,1,否
412,男,市场营销,本科,出国,银行,15000,南京,1,否
413,男,汉语言文学,博士,公务员,医疗,13500,武汉,1,否
414,男,临床医学,本科,就业,文化传媒,6000,杭州,3,是
415,男,机械工程,硕士,自由职业,政府机关,7500,青岛,1,是
416,男,电子信息,本科,就业,互联网,14000,深圳,1,否
417,女,环境工程,本科,创业,政府机关,9500,西安,1,否
418,男,计算机,博士,创业,互联网,7000,杭州,5,是
419,女,临床医学,硕士,就业,政府机关,11000,南京,1,否
420,女,临床医学,博士,出国,政府机关,7000,西安,4,否
421,男,金融学,博士,考研,教育,10000,成都,3,否
422,男,计算机,硕士,考研,医疗,5500,青岛,3,是
423,女,环境工程,硕士,就业,教育,14500,南京,3,否
424,男,计算机,硕士,自由职业,互联网,5000,杭州,5,否
425,男,市场营销,本科,就业,教育,10000,深圳,2,是
426,男,法学,本科,创业,银行,7000,杭州,5,否
427,女,金融学,博士,出国,建筑,11500,北京,5,否
428,男,汉语言文学,硕士,自由职业,政府机关,6500,北京,2,是
429,女,市场营销,硕士,公务员,制造业,8500,南京,3,是
430,男,市场营销,硕士,创业,建筑,11000,西安,4,是
431,女,机械工程,硕士,自由职业,制造业,13500,广州,4,是
432,男,土木工程,博士,公务员,银行,14000,南京,2,否
433,男,环境工程,博士,考研,政府机关,11500,成都,5,是
434,女,机械工程,硕士,出国,医疗,10500,成都,4,否
435,男,临床医学,硕士,创业,建筑,5500,广州,4,否
436,女,计算机,本科,创业,建筑,11000,深圳,4,是
437,女,机械工程,硕士,考研,文化传媒,14000,南京,4,是
438,男,汉语言文学,博士,公务员,制造业,7000,广州,1,是
439,男,土木工程,硕士,就业,建筑,7500,成都,2,是
440,女,临床医学,博士,考研,教育,12000,南京,2,否
441,男,法学,博士,出国,制造业,15000,广州,2,是
442,男,环境工程,硕士,考研,医疗,9000,广州,3,是
443,男,土木工程,硕士,自由职业,医疗,5000,深圳,2,是
444,女,土木工程,本科,就业,医疗,12000,南京,2,否
445,女,金融学,本科,创业,教育,9500,广州,4,是
446,女,汉语言文学,博士,出国,银行,11000,南京,1,否
447,女,市场营销,硕士,就业,制造业,5500,广州,3,是
448,男,汉语言文学,博士,自由职业,银行,14500,青岛,2,否
449,男,临床医学,博士,公务员,制造业,12500,上海,5,否
450,男,金融学,硕士,出国,银行,14500,武汉,5,是
451,女,土木工程,本科,自由职业,政府机关,4000,南京,2,是
452,女,电子信息,本科,自由职业,建筑,10000,武汉,2,否
453,女,法学,本科,创业,建筑,6500,上海,3,是
454,男,电子信息,硕士,创业,教育,8500,成都,2,否
455,男,计算机,硕士,考研,制造业,9000,青岛,2,是
456,男,电子信息,本科,考研,银行,13000,杭州,3,是
457,女,土木工程,硕士,公务员,政府机关,5000,深圳,1,否
458,男,环境工程,本科,创业,互联网,8000,广州,1,否
459,女,金融学,博士,自由职业,制造业,15000,武汉,4,否
